,¿Por qué quieres aprender Data Science?,¿Pagarías por una formación completa como data scientist?¿Cuánto?
25,"Está relacionado con mi trabajo, es para mí un tema de interés ya que soy de profesión más cercano a la informática y me gustaría ampliar mis conocimientos en la estadística, análisis de datos y machines learning.","Sí, menos de 500 dólares"
26,Para mi pega,"Sí, menos de 500 dólares"
27,Curiosidad,No
28,"Me interesa aprender el mundo de data science, puesto que en mi carrera, en último año, estoy especializandome en machine learning y estoy iniciando pero me gustaría seguir yendo más a fondo en el tema.","Sí, entre 1500 a 2000 dólares"
29,,"Sí, menos de 500 dólares"
30,"Me llamó mucho la atención desde que un profe de la u en que estoy habló sobre la IA(era algo de procesamiento de una cantidad exagerada de datos para luego decidir si era ""A"" o ""B"" en materia de bioquimica). Luego con el ramo de estadística el profe dio ejemplos en lo que se usaba la regresion lineal y desde ahi que me empezó a interesar este tema.","Sí, menos de 500 dólares"
31,adquirir nuevos conocimientos ,"Sí, menos de 500 dólares"
32,Adquirir nuevos conocimientos,"Sí, menos de 500 dólares"
33,Adquirir nuevas herramientas como economista y un futuro posibles post grados.,No
34,Me parece un tema interesante,"Sí, menos de 500 dólares"
35,Para mejorar mis opciones de empleabilidad. ,"Sí, entre 500 a 1000 dólares"
36,Hobbie y motivos laborales,"Sí, entre 500 a 1000 dólares"
37,"Principalmente para crecer profesionalmente y seguir aprendiendo. Por otra parte, para enfrentar de mejor manera las oportunidades que se vayan presentando. ","Sí, menos de 500 dólares"
38,Porque me apasiona está nueva tecnología y su uso para mejorar y ayudar a la humanidad.,"Sí, menos de 500 dólares"
39,perfeccionar mis conocimientos ,No
40,Porque me gusta,No
41,Porque lo quiero complementar con mi área de biotecnología,"Sí, menos de 500 dólares"
42,Es un topico del cual estoy bastante interesado,No
43,"Porque me interesa el conocimiento asociado al área (Álgebra Lineal, Estadística, Programación, etc.) y me gusta trabajar con datos","Sí, menos de 500 dólares"
44,"Necesito actualizar mis conocimiento, hay hambre de aprender sobre el manejo de datos concreto y con estadística real, quiero dejar que hacer querys con agrupación de datos, hora de evolucionar","Sí, entre 500 a 1000 dólares"
45,Me gusta mucho el área y quiero desempeñarme profesionalmente en esto,"Sí, menos de 500 dólares"
46,Me quiero dedicar a la bioinformática y me falta base estadística y de machine learning ,No
47,Soy Ingeniero en Informática y pienso que esto me puede ayudar en mi desarrollo profesional.,"Sí, menos de 500 dólares"
48,Para ayudar en mi futuro profesional y desarrollar proyectos personales,"Sí, más de 2000 dólares"
49,,"Sí, menos de 500 dólares"
50,"Para mi pool de destrezas técnicas que puedo adquirir y poder realizar proyectos y gestionarlos yo -en un inicio y sin financiamiento xD- // No pagaría por un tipo de formación así debido a que no dispongo de los medios para hacerlo, si pudiera/quisiera, quizá lo haría si lo demandase mi rubro de trabajo (but im 19 y/o lol)",No
51,Me interesa saber la forma de representar información de manera inteligente y rápida de una base de datos,"Sí, menos de 500 dólares"
52,"Porque me encanta el análisis formal de los problemas, estoy terminando ing civil informática y quiero proyectar mi carrera hacia el data science ","Sí, entre 500 a 1000 dólares"
53,Porque lo considero importante para el futuro ,"Sí, menos de 500 dólares"
54,Avanzar en analisis de datos,"Sí, menos de 500 dólares"
55,"Actualmente laboro en el área de BI, quiero expandir conocimientos para agregar valor en mi trabjo","Sí, menos de 500 dólares"
56,Para avanzar aún más y que mejor que compartirnos avances en DS,"Sí, entre 500 a 1000 dólares"
57,Es una area relacionada que deseo aprender para aplicar en los proyectos que puedan venir,"Sí, entre 500 a 1000 dólares"
58,Quiero reforzar mis conocimientos actuales.,No
59,Quiero sacarle provecho a los datos quetenemos guardados,"Sí, menos de 500 dólares"
60,Me interesa en análisis de datos en salud para mejorar procesos de atención y optimizar tratamientos,"Sí, entre 500 a 1000 dólares"
61,Para aplicarlo en mi trabajo,"Sí, menos de 500 dólares"
62,"Porque siento que es una disciplina que se puede complementar con la que estudio, Sociología. La aplicación social del data science puede ser muy útil.",No
63,Expandir mis conocimientos ,"Sí, menos de 500 dólares"
64,Quiero enfocar mi carrera (Ingeniería en Información y Control de Gestión) hacia el data science.,"Sí, menos de 500 dólares"
65,Porque me gustabal explotacion de datos y me gusta tener reepuestas an base a analisis ,"Sí, entre 500 a 1000 dólares"
66,Por motivos profesionales,"Sí, menos de 500 dólares"
67,Porque es una herramienta necesaria para inteligencia de negocios,No
68,Deseo adquirir conocimientos en esta área del saber.,"Sí, menos de 500 dólares"
69,Me gustaria hacer carrera en el área,"Sí, menos de 500 dólares"
70,Me gusta lo poderosa que es,No
71,Para adquirir nuevas habilidades ,No
72,Para mejorar oportunidades laborales,"Sí, entre 500 a 1000 dólares"
73,"Para poder aplicarlo al área en que trabajo, Marketing Digital. Ya que creo que el análisis de data es fundamental para mejorar la inteligencia en las campañas publicitarias. ","Sí, menos de 500 dólares"
74,Porque es necesario saber esta técnica hoy en dia,"Sí, menos de 500 dólares"
75,"Es algo en lo que me gustaría dedicarme y profundizar, para hacer aportes de innovacion y tecnología.",No
76,Principalmente porque en mi trabajo está la idea de empezar con machine learning y  quiero estar al tanto del tema,"Sí, entre 500 a 1000 dólares"
77,"Soy Sociólogo recién egresado, y la formación en Data fue muy mala (o al menos no aplicable para los tiempos de hoy) Ando en búsqueda de más y mejor capacitación para mi profesión.",No
78,"Porque las ideas las tengo, me falta conocimiento técnico ","Sí, entre 1000 a 1500 dólares"
79,Trabajo en telecomunicaciones y me gustaria tener herramientas avanzadas para analisis de trafico/eventos,"Sí, menos de 500 dólares"
80,Actualizar Conocimientos,"Sí, entre 500 a 1000 dólares"
81,interés personal y uso profesional,"Sí, entre 1000 a 1500 dólares"
82,Para analizar datos y aportar a la empresa en la que estoy ,"Sí, menos de 500 dólares"
83,Trabajo en análisis de datos y quiero profundizar mis conocimientos ,"Sí, entre 500 a 1000 dólares"
84,Me sirve mucho para el area de trabajo en la que me encuentro y donde me quiero seguir desarrollando,"Sí, entre 500 a 1000 dólares"
85,Trabajo en BI y me es esencial ,"Sí, menos de 500 dólares"
86,por que tiene muchas aplicaciones en muchos mercados.,"Sí, entre 1000 a 1500 dólares"
87,"El año pasado comencé adquiriendo conocimientos básicos sobre data science en un electivo de mi universidad, que poseia el mismo nombre y se programaba en R. El segundo semestre comencé mi tesis de pregrado utilizando el mismo lenguaje y entorno de programación y trabajando con grandes volúmenes de datos. Es por eso que de a poco he ido adquiriendo conocimientos al respecto, aún me queda mucho por aprender y mejorar por lo que ésta iniciativa no se puede dejar pasar.","Sí, entre 1000 a 1500 dólares"
88,Me gustaria aprender para saber sobre modelos y empezar a perfeccionarme como machine learning engineer,"Sí, entre 500 a 1000 dólares"
89,"Quisiera crear modelos predictivos para campañas de pago, Facebook y Google.","Sí, menos de 500 dólares"
90,Seguir perfeccionandome,"Sí, entre 1000 a 1500 dólares"
91,Complementar diplomado,No
92,Lo encuentro necesario para saber más de lo que dicen los datos,"Sí, entre 500 a 1000 dólares"
93,Porque creo que será una herramienta valiosísima para mi desempeño profesional y me permitirá mejorar mis habilidades en el área de la programación.,"Sí, más de 2000 dólares"
94,Reforzar y retomar el aprendizaje,No
95,"Me parece importante en el desarrollo profesional, me gusta mucho el area y quisiera ver la oportunidad de llevarlo de la mano con mi área de estudio (Ing electricista)","Sí, entre 500 a 1000 dólares"
96,"Me gustaria aprender porque he escuchado hablar mucho de ello y con esto puedo ir desarrollandome profesionalmente, soy programador","Sí, entre 1000 a 1500 dólares"
97,Me interesa y me gustaría tener conocimiento y contribuir con el.,"Sí, menos de 500 dólares"
98,L.sanhueza05@gmail.com,No
99,"Tuve una asignatura de big data en pregrado, es el área donde quiero especializarme luego","Sí, menos de 500 dólares"
100,"Me llama mucho la atención esta área, siento que es un nicho de grandes oportunidades laborales, además de contribuir a mejorar la calidad de vida de las personas y las tomas de decisiones ",No
101,Considero que es una gran herramienta para generar información procesando datos. Me gustaría aplicarlo en periodismo. ,No
102,"Me interesa profundizar mis conocimientos en la materia, ya que hace mucho dejé de aplicar en el tema.","Sí, entre 1000 a 1500 dólares"
103,Estoy terminado mi tesis de magister y me gustaria ver como puedo aplicar el Data Science al analisis de malware,"Sí, entre 500 a 1000 dólares"
104,trabajo,"Sí, menos de 500 dólares"
105,Quiero aplicar técnicas de data science en mi trabajo,"Sí, entre 1500 a 2000 dólares"
106,es entretenido,"Sí, menos de 500 dólares"
107,Trabajo,"Sí, menos de 500 dólares"
108,"Estudio Programación, y me parece una opción interesante para manejar herramientas que ayuden a mi desarrollo profesional","Sí, menos de 500 dólares"
109,Hace poco comencé a estudiar programación y es uno de los temas que me interesó ,"Sí, entre 500 a 1000 dólares"
110,Trabajo(?) ,"Sí, menos de 500 dólares"
111,porque siempre me ha interesado obtener información y datos útiles de un conjunto (grande) de datos y poder sacar valor de eso.,"Sí, entre 500 a 1000 dólares"
112,Es una profesión con futuro y se pueden hacer cosas muy interesantes,"Sí, menos de 500 dólares"
113,Porque quiero perfeccionarme en al área y aumentar mis conocimientos,"Sí, menos de 500 dólares"
114,Retribuir socialmente mi conocimiento para mejorar situaciones vulnerables de la vida humana ,No
115,Desarrolló profesional,"Sí, entre 500 a 1000 dólares"
116,,No
117,Me interesan la TI y la actualización en la era digital,"Sí, menos de 500 dólares"
118,"Porque es importante estar sumergido en todo tipo de área cuando estamos aprendiendo ingeniería, para poder adquirir herramientas que siempre serán necesarias y muy útiles. ","Sí, menos de 500 dólares"
119,Tener todo el control de mi proyecto ,"Sí, entre 500 a 1000 dólares"
120,"Completar mi perfil profesional, soy ingeniero BI, consultor SAP BW-BO- HANA, y he ido aprendiendo por mi cuenta sobre data science, y esta es una tremenda oportunidad de poder tener una guía para el aprendizaje.","Sí, menos de 500 dólares"
121,"Actualmente curso maestría donde es muy importante el conocimiento de esta ciencia, así también aprenderla y manejarla para trabajos futuros, porque hoy en día la industria, educación y otros sectores están invirtiendo cada vez más en el desarrollo y aplicabilidad de estas ciencias. ","Sí, menos de 500 dólares"
122,Estudio Estadística y me gustaría especializarme en data science para ampliar mi campo laboral y aprendrer mucho más lo que es la programación. ,"Sí, entre 1000 a 1500 dólares"
123,"Más
Conocimiento ","Sí, entre 500 a 1000 dólares"
124,Curiosidad y porque el manejo de datos es lo que está actualmente y lo que viene.,"Sí, menos de 500 dólares"
125,Cambiar de carrera profesional,"Sí, menos de 500 dólares"
126,"Porque une las 2 cosas que me gustan, las matemáticas y la programación, hoy en día trabajo como frontend pero me gustaría inclinarme hacia esta rama en el futuro.","Sí, entre 500 a 1000 dólares"
127,Aumentar mis herramientas y conocimiento en el análisis de datos ,"Sí, entre 1500 a 2000 dólares"
128,para mejorar profesionalmente,No
129,Quiero darle otro aire a mi carrera,"Sí, menos de 500 dólares"
130,Porque sus campos de uso son extremadamente amplios y me gustaría participar en proyectos de mi área ,"Sí, menos de 500 dólares"
131,Porque me gustan los datos urbanos y quiero trabajar en esa área poco conocida aportando al desarrollo adecuado de ciudades.,"Sí, menos de 500 dólares"
132,"Es una herramienta totalmente necesaria de análisis, con más y más datos cada vez, se debe ir convergiendo en data science ","Sí, menos de 500 dólares"
133,Para aplicarlo a mi trabajo de procesamiento de datos,"Sí, menos de 500 dólares"
134,Porque estudié Ingeniería Civil Informática y ya he trabajado con Científicos de Datos levantando toda la infraestructura para comenzar a modelar grandes volúmenes de datos.,"Sí, entre 500 a 1000 dólares"
135,Porque en biologia se ha generado una cantidad abrumadora de datos gracias a las nuevas tecnologías de secuenciacion. Pir esto para generar modelos predictivos y visualizar estos datos creo que es necesario aprender data science,"Sí, menos de 500 dólares"
136,Tener más skills,"Sí, entre 1000 a 1500 dólares"
137,"Tengo conocimiento medio de R y avanzado en SQL, por lo que es parte de mi crecimiento natural. ","Sí, menos de 500 dólares"
138,Para resolver problemas complejos ,"Sí, menos de 500 dólares"
139,Potenciamiento profesional ,No
140,mejorar expectativa laboral,"Sí, entre 500 a 1000 dólares"
141,Por trabajo ,"Sí, menos de 500 dólares"
142,"Tengo conocimientos básicos de data science, he colaborado con equipos expertos en el tema y me gustaría profundizar algunos conocimientos antes de comenzar una formación profesional en el tema.","Sí, entre 500 a 1000 dólares"
143,Quiero seguir mejorando lo que vienen mis últimos estudios. ,No
144,"Ante todo le agradezco la información que nos proporciona. Yo quiero aprender Data Science porque trabajo en un laboratorio de microbiología de un hospital pediátrico y tenemos mucha información sobre los resultados de la resistencia antimicrobiana que es necesario trabajar para dar tendencias y pronósticos útiles para nuestra población. Además de ello, es muy común que tengamos métodos que podrían ser mejorados, para ello requerimos información objetiva que da la estadística y el correcto uso del diseño de experimentos. Actualmente sigo canales de YouTube sobre estadística y lo aplico a mi realidad. Me gustaría aplicar el conocimiento adquirido a más áreas de mi trabajo. ¡Muchas gracias!","Sí, menos de 500 dólares"
145,Porque actualmente soy Data Engineer y me gustaría entender más del DS para poder apoyar de mejor manera a mis contrapartes.,"Sí, entre 500 a 1000 dólares"
146,para mi futuro profesional y para proyectos personales,"Sí, más de 2000 dólares"
147,Estudio bibliotecologia,"Sí, menos de 500 dólares"
148,Adquirir nuevas herramientas profesionales ,"Sí, menos de 500 dólares"
149,Por conocimientos personales,"Sí, menos de 500 dólares"
150,"Porque desde que se comenzó a hablar de el, me llamó la atención y he tratado de leer sobre Data Science y en un futuro poder trabajar de lleno en ese mundo.","Sí, entre 1000 a 1500 dólares"
151,"Es parte del aprendizaje que se debe adquirir en este tiempo, aprender a manejar la información que te entregan los datos y tomar las mejores decisiones.",No
152,porque es lo que la lleva en estos momentos,"Sí, menos de 500 dólares"
153,"es un tema que esta en boga, y es necesario conocerlo","Sí, menos de 500 dólares"
154,Soy un apasionado de los datos y estoy trabajando en este rubro hace unos años,"Sí, menos de 500 dólares"
155,"Por que desde que leí sobre inteligencia artificial no puedo dejar de pensar en los miles de usos que se pueden realizar, me interesa mucho el mundo de los datos, amo las matemáticas y la programación por lo cual en esta área se juntan las cosas que mas me apasionan.","Sí, menos de 500 dólares"
156,"Como Economista, se ha vuelto necesario trabajar con grandes volúmenes de datos, tanto a nivel micro como macroeconómico, a su vez, también se requiere comenzar a migrar de los software privados (STATA) a modelos open source, tales como R o Python, por lo mismo, este camino de aprendizaje se vuelve muy importante frente al escenario actual.","Sí, entre 1000 a 1500 dólares"
157,"Sé, pero quiero saber qué estás armando :v ","Sí, más de 2000 dólares"
158,Para desarrollar de mejor forma mi carrera,"Sí, entre 500 a 1000 dólares"
159,Estar más vinculado con la tecnología y analisis de datos,"Sí, menos de 500 dólares"
160,debido a la necesidad de conocedores en este campo,"Sí, menos de 500 dólares"
161,Me parece interesante lo que puede entregar en conocimiento ,"Sí, menos de 500 dólares"
162,Porque quiero seguir aprendiendo del mundo de TI,No
163,Adquirir nuevos conocimientos,"Sí, menos de 500 dólares"
164,Hacer proyectos,"Sí, entre 500 a 1000 dólares"
165,"Porque amo Python desde hace 4 años. Soy Full Stack y quiero expandir mi conocimiento en DS, ML, DL y AI!!!","Sí, más de 2000 dólares"
166,mejora salarial y crecimiento profesional,"Sí, entre 500 a 1000 dólares"
167,Me gusta el análisis de datos para identificar patrones de comportamiento,"Sí, entre 500 a 1000 dólares"
168,Es de mi interés y me ayuda en mis temas de interés como estudiante de geofisica,No
169,Por conocimiento personal y posible aplicación a futuros proyectos,No
170,Por qué es un área con bastante aplicaciones y además es una area relacionada con mí carrera en dónde me gustaría profundizar ,"Sí, entre 500 a 1000 dólares"
171,Por ampliar mi curriculum,"Sí, menos de 500 dólares"
172,Me interesa agregar un conocimiento nuevo a mi perfil ,"Sí, menos de 500 dólares"
173,"Creo poder realizar proyectos interesantes, ademas de poder aprender algo nuevo y en tendencia.","Sí, entre 500 a 1000 dólares"
174,"Me encanta analizar datos, ver patrones y nuevas oportunidades en los datos, para mi empresa.",No
175,"Cumpliré 36 años de edad, llevó trabajando en BI y analytics cerca de 10. Quiero profundizar mis conocimientos en modelamiento predictivo, ML y mejorar mis habilidades de programación. Pretendo evolucionar en el campo del DS pq me encanta dedicarme a los datos. ","Sí, más de 2000 dólares"
176,Aplicar técnica en datos públicos y transparentar gestión de Municipalidades y Gobierno,No
177,Para desarrollarme profesionalmente y para realizar investigación que es mi pasión y forma de aportar a la sociedad,"Sí, menos de 500 dólares"
178,Lo necesito para mi trabajo,"Sí, menos de 500 dólares"
179,fortalecer mi trabajo en I+D,"Sí, menos de 500 dólares"
180,Profundizar y acercarme más hacia IA y aspectos de analítica para dedicar mi futuro a ello.,"Sí, más de 2000 dólares"
181,Porque entiendo la necesidad de formarse en esta disciplina para poder generar más y mejores cambios,"Sí, entre 500 a 1000 dólares"
182,"Introducirme al tema, entender sus requisitos, uso y verlo como una herramienta en mi trabajo. ","Sí, entre 1000 a 1500 dólares"
183,mejorar mis aptitudes academicas,"Sí, entre 500 a 1000 dólares"
184,ese enfoque quuiero darle a mi carrera,"Sí, entre 1000 a 1500 dólares"
185,Ampliar conocimiento y aplicarlo,"Sí, entre 500 a 1000 dólares"
186,Interés profesional ,"Sí, entre 500 a 1000 dólares"
187,Me llama la atención el tema para complementar mi carrera. ,"Sí, entre 1000 a 1500 dólares"
188,quiero actualizar mis conocimientos... me interesa mucho el área. ,"Sí, entre 500 a 1000 dólares"
189,be cause i need it,"Sí, más de 2000 dólares"
190,Sé lo básico y me gustaría aprender más y enfocarme en DS foto social good,"Sí, entre 500 a 1000 dólares"
191,Me parece interesante y me podría ayudar de mejor manera a interpretar la enorme cantidad de datos que se generan a mi alrededor ,"Sí, entre 500 a 1000 dólares"
192,Por que quiero desallosarme como ingeniero de inteligencia artificial ,"Sí, entre 500 a 1000 dólares"
193,me apasiona los alcances que puede tener en ciencia y la vida cotidiana (soy profesor) ,
194,Por que soy ingeniero Industrial y quiero indagar en este mundo ,"Sí, menos de 500 dólares"
195,Me gustaría reforzar y profundizar en varios elementos y conceptos de la disciplina ,"Sí, entre 1000 a 1500 dólares"
196,"Me gustaría poder combinar el data science con mantenimiento industrial (soy ing. civil mecánico recién titulado con magíster en ciencias). Programé en C, Fortran, python y me gustaría poder expandir aun más mis conocimientos y poder encontrar un trabajo donde poder combinar todas estas áreas.","Sí, menos de 500 dólares"
197,Interés personal y desarrollo de carrera,"Sí, entre 500 a 1000 dólares"
198,Por desarrollo profesional ,"Sí, entre 1500 a 2000 dólares"
199,"Tengo conocimientos. Realice cursos de data science en python, creo que tengo una buena base. Me interesa reforzar y aprender más. ","Sí, entre 500 a 1000 dólares"
200,"Me interesa el manejo de la información, le abre las ideas a las empresas ",No
201,Me motiva el tema,"Sí, entre 500 a 1000 dólares"
202,Porque es útil y porque tal vez quiero enfocar mi carrera en esa disciplina. ,"Sí, entre 1500 a 2000 dólares"
203,,
204,se un poco de data science pero quiero reforzar la informacion que tengo.,"Sí, entre 1000 a 1500 dólares"
205,Me interesa aprender Data Science para poder resolver problemas dentro de mi comunidad,"Sí, entre 500 a 1000 dólares"
206,Hoy se ha formado un equipo de mejiras de procesos que me incluye a mi con tecnologia,No
207,Quiero hacer investigación ,"Sí, menos de 500 dólares"
208,"Para aumentar conocimientos, crecimiento profesional, afianzar conocimiento. ","Sí, menos de 500 dólares"
209,porque estoy interesado en apuntar mi carrera profesional para esa área,No
210,Creo importante tener nociones para mi desarrollo profesional. ,"Sí, menos de 500 dólares"
211,"Porque he intentado mezclar mi profesión, periodismo, con big data hace tiempo. Y aunque he hecho cursos para aprender, me falta para poder publicar información de este tipo en un medio masivo.","Sí, menos de 500 dólares"
212,Porque estudie y actualmente trabajo en algo relacionado a data science,No
213,Trabajo en el área y me interesa profundizar mis conocimientos ,"Sí, menos de 500 dólares"
214,Me gusta aprender nuevas herramientas,"Sí, menos de 500 dólares"
215,,"Sí, menos de 500 dólares"
216,Para desarrollar habilidades útiles de mi carrera,No
217,Y porque no? ,"Sí, menos de 500 dólares"
218,Interés general,No
219,Proyección laboral y aplicacion en proyectos personales,No
220,porque lo amo,"Sí, menos de 500 dólares"
